Date;Filière;Valeur (%)
2025;"Maximum capacity factor ";79,859802943455
2026;"Maximum capacity factor ";75,264477997796
2014-01;"Average capacity factor ";35,743368082294
2014-02;"Average capacity factor ";44,578929255007
2014-03;"Average capacity factor ";20,867199121847
2014-04;"Average capacity factor ";17,371827361075
2014-05;"Average capacity factor ";23,909144978271
2014-06;"Average capacity factor ";15,402154635647
2014-07;"Average capacity factor ";14,68275537309
2014-08;"Average capacity factor ";15,030189763924
2014-09;"Average capacity factor ";11,323447001061
2014-10;"Average capacity factor ";18,841782227812
2014-11;"Average capacity factor ";22,717404868832
2014-12;"Average capacity factor ";30,429180901731
2015-01;"Average capacity factor ";32,888785788059
2015-02;"Average capacity factor ";30,025071582231
2015-03;"Average capacity factor ";28,222989838794
2015-04;"Average capacity factor ";20,960086395906
2015-05;"Average capacity factor ";21,965954857361
2015-06;"Average capacity factor ";17,859619536386
2015-07;"Average capacity factor ";19,028165077741
2015-08;"Average capacity factor ";15,269497008495
2015-09;"Average capacity factor ";23,228598257556
2015-10;"Average capacity factor ";17,247607620343
2015-11;"Average capacity factor ";34,516026839602
2015-12;"Average capacity factor ";33,520382367107
2016-01;"Average capacity factor ";37,066288752426
2016-02;"Average capacity factor ";40,061404636249
2016-03;"Average capacity factor ";31,620850366544
2016-04;"Average capacity factor ";21,84120432375
2016-05;"Average capacity factor ";19,274001493365
2016-06;"Average capacity factor ";13,628440188472
2016-07;"Average capacity factor ";12,36823954554
2016-08;"Average capacity factor ";14,367072106711
2016-09;"Average capacity factor ";12,33348298855
2016-10;"Average capacity factor ";16,659258188923
2016-11;"Average capacity factor ";27,985038089294
2016-12;"Average capacity factor ";17,427795621294
2017-01;"Average capacity factor ";23,176534164502
2017-02;"Average capacity factor ";31,45890727754
2017-03;"Average capacity factor ";29,379280223533
2017-04;"Average capacity factor ";16,655849965141
2017-05;"Average capacity factor ";16,339189991747
2017-06;"Average capacity factor ";16,547697620743
2017-07;"Average capacity factor ";18,278926715505
2017-08;"Average capacity factor ";13,120920946358
2017-09;"Average capacity factor ";17,684379611608
2017-10;"Average capacity factor ";21,263457557839
2017-11;"Average capacity factor ";24,225743915081
2017-12;"Average capacity factor ";33,502026084703
2018-01;"Average capacity factor ";39,777651684653
2018-02;"Average capacity factor ";30,444475726367
2018-03;"Average capacity factor ";30,738865934677
2018-04;"Average capacity factor ";21,878843448226
2018-05;"Average capacity factor ";15,59118648044
2018-06;"Average capacity factor ";13,653015120604
2018-07;"Average capacity factor ";10,534377941027
2018-08;"Average capacity factor ";13,322858063361
2018-09;"Average capacity factor ";15,666518490338
2018-10;"Average capacity factor ";23,170859667807
2018-11;"Average capacity factor ";26,439260939751
2018-12;"Average capacity factor ";32,577667941573
2019-01;"Average capacity factor ";27,062924243074
2019-02;"Average capacity factor ";25,61557461908
2019-03;"Average capacity factor ";38,842908181053
2019-04;"Average capacity factor ";20,820972800066
2019-05;"Average capacity factor ";19,070191930904
2019-06;"Average capacity factor ";16,575985868886
2019-07;"Average capacity factor ";14,57775318856
2019-08;"Average capacity factor ";13,926628242488
2019-09;"Average capacity factor ";22,847479425402
2019-10;"Average capacity factor ";28,183186705036
2019-11;"Average capacity factor ";28,786764030003
2019-12;"Average capacity factor ";37,967014514984
2020-01;"Average capacity factor ";33,7456695517
2020-02;"Average capacity factor ";50,65029184404
2020-03;"Average capacity factor ";36,118682361808
2020-04;"Average capacity factor ";18,896948232308
2020-05;"Average capacity factor ";21,323694609302
2020-06;"Average capacity factor ";16,80170347833
2020-07;"Average capacity factor ";16,533178712795
2020-08;"Average capacity factor ";16,031756814839
2020-09;"Average capacity factor ";17,248346316611
2020-10;"Average capacity factor ";33,540943337557
2020-11;"Average capacity factor ";25,369736190847
2020-12;"Average capacity factor ";33,781150191747
2021-01;"Average capacity factor ";30,275623414805
2021-02;"Average capacity factor ";35,749469050699
2021-03;"Average capacity factor ";27,999670116958
2021-04;"Average capacity factor ";22,883497132162
2021-05;"Average capacity factor ";29,502983517179
2021-06;"Average capacity factor ";10,2801093856
2021-07;"Average capacity factor ";17,040943440027
2021-08;"Average capacity factor ";16,308394010802
2021-09;"Average capacity factor ";12,505349220887
2021-10;"Average capacity factor ";25,27438715618
2021-11;"Average capacity factor ";20,259261774767
2021-12;"Average capacity factor ";31,051597630217
2022-01;"Average capacity factor ";22,151185616312
2022-02;"Average capacity factor ";41,220859751085
2022-03;"Average capacity factor ";24,550643267286
2022-04;"Average capacity factor ";25,698641054635
2022-05;"Average capacity factor ";14,632927443992
2022-06;"Average capacity factor ";13,028233389536
2022-07;"Average capacity factor ";12,73420313643
2022-08;"Average capacity factor ";13,803929764485
2022-09;"Average capacity factor ";15,498291793278
2022-10;"Average capacity factor ";22,614681799404
2022-11;"Average capacity factor ";32,317908025632
2022-12;"Average capacity factor ";28,993496253601
2023-01;"Average capacity factor ";35,411253933233
2023-02;"Average capacity factor ";23,736127049236
2023-03;"Average capacity factor ";36,842191174991
2023-04;"Average capacity factor ";24,538792336399
2023-05;"Average capacity factor ";22,587796511479
2023-06;"Average capacity factor ";13,354109222162
2023-07;"Average capacity factor ";19,842463228125
2023-08;"Average capacity factor ";16,737185494356
2023-09;"Average capacity factor ";14,587651893212
2023-10;"Average capacity factor ";26,552719560076
2023-11;"Average capacity factor ";39,630776938639
2023-12;"Average capacity factor ";40,276068134836
2024-01;"Average capacity factor ";31,545837387435
2024-02;"Average capacity factor ";35,396264107739
2024-03;"Average capacity factor ";25,759171888651
2024-04;"Average capacity factor ";26,688252800624
2024-05;"Average capacity factor ";13,84011856504
2024-06;"Average capacity factor ";13,253678640552
2024-07;"Average capacity factor ";11,236806991645
2024-08;"Average capacity factor ";11,266243146369
2024-09;"Average capacity factor ";22,88967998005
2024-10;"Average capacity factor ";17,95490195577
2024-11;"Average capacity factor ";22,750285792419
2024-12;"Average capacity factor ";28,990370498803
2025-01;"Average capacity factor ";30,89157888113
2025-02;"Average capacity factor ";21,370933452904
2025-03;"Average capacity factor ";21,979021853545
2025-04;"Average capacity factor ";19,675483984376
2025-05;"Average capacity factor ";17,969602055789
2025-06;"Average capacity factor ";13,087445677722
2025-07;"Average capacity factor ";14,682334683011
2025-08;"Average capacity factor ";12,961271416163
2025-09;"Average capacity factor ";20,47657618485
2025-10;"Average capacity factor ";27,342845168903
2025-11;"Average capacity factor ";27,666024262568
2025-12;"Average capacity factor ";28,936749505286
2026-01;"Average capacity factor ";30,433602786696
